n_components,covariance_type,init_params,bic,aic,converged
7,diag,kmeans,-6973.002284706715,-7320.473044818643,True
7,diag,k-means++,-6973.002284593318,-7320.473044705246,True
7,diag,random_from_data,-6851.6193889792,-7199.090149091128,True
6,diag,random_from_data,-6760.494630741826,-7057.775169948697,True
6,diag,kmeans,-6388.240135476893,-6685.520674683764,True
7,full,random_from_data,-6374.2829974294045,-7127.136311005248,True
6,diag,k-means++,-6235.749011705092,-6533.029550911963,True
7,full,k-means++,-6156.371362712665,-6909.224676288509,True
6,full,random_from_data,-6001.430726046752,-6646.182025365551,True
7,full,kmeans,-5647.34307161966,-6400.196385195503,True
6,full,kmeans,-5554.070848130796,-6198.822147449595,True
5,diag,random_from_data,-5468.33182278635,-5715.4221410881655,True
5,diag,k-means++,-5450.172759653389,-5697.263077955205,True
6,full,k-means++,-5110.798257868871,-5755.54955718767,True
5,diag,kmeans,-5096.07732747938,-5343.1676457811955,True
5,full,kmeans,-4866.9668499469135,-5403.616135008669,True
4,full,random_from_data,-4523.196155476072,-4951.743426280783,True
5,full,random_from_data,-4509.181082905473,-5045.830367967228,True
4,full,k-means++,-4399.148950620454,-4827.696221425165,True
4,full,kmeans,-4399.148950620454,-4827.696221425165,True
4,diag,random_from_data,-3870.423053089316,-4067.323150486075,True
4,diag,k-means++,-3870.423053089316,-4067.323150486075,True
4,diag,kmeans,-3870.423053089316,-4067.323150486075,True
5,full,k-means++,-3734.920390691309,-4271.569675753064,True
7,tied,kmeans,-2863.152931471123,-3129.5471808902676,True
3,full,k-means++,-2068.501633944604,-2388.9468904922705,True
3,full,kmeans,-2068.501633944604,-2388.9468904922705,True
3,full,random_from_data,-2068.501633944604,-2388.9468904922705,True
5,tied,kmeans,-1945.7684927007872,-2158.11173499141,True
6,tied,kmeans,-1937.0372644317042,-2176.406010286588,True
4,tied,kmeans,-1855.5693631996999,-2040.8871019260614,True
3,diag,kmeans,-577.3290799335426,-724.0389564252455,True
3,diag,k-means++,-577.3290798983758,-724.0389563900786,True
3,diag,random_from_data,-577.3290798539615,-724.0389563456644,True
2,full,random_from_data,-295.32794308126154,-507.6711853718841,True
2,full,k-means++,1742.640288568829,1530.2970462782064,True
2,diag,random_from_data,2251.537990510512,2155.018334923865,True
3,tied,kmeans,2616.206146094743,2457.9139109326425,True
2,full,kmeans,2626.426236518171,2414.0829942275486,True
2,tied,kmeans,2673.5789457235433,2542.312214125704,True
7,spherical,k-means++,2752.6264490009503,2540.2832067103277,True
7,spherical,kmeans,2772.4857993296046,2560.142557038982,True
7,spherical,random_from_data,2993.7142764439127,2781.37103415329,True
2,tied,k-means++,3019.2834652493357,2888.0167336514965,True
2,tied,random_from_data,3019.283468370496,2888.0167367726567,True
3,tied,k-means++,3060.308635937775,2902.0164007756744,True
3,tied,random_from_data,3060.30863887538,2902.0164037132795,True
6,spherical,kmeans,3098.9875225939422,2917.5305700910467,True
4,tied,k-means++,3101.3328914253734,2916.015152699012,True
4,tied,random_from_data,3101.3338728647495,2916.0161341383878,True
6,spherical,k-means++,3115.373760480853,2933.9168079779574,True
5,tied,k-means++,3142.3495908552304,2930.006348564608,True
5,tied,random_from_data,3142.35876336031,2930.0155210696876,True
6,tied,k-means++,3183.3720471033284,2944.0033012484446,True
6,tied,random_from_data,3183.3835638101373,2944.0148179552534,True
6,spherical,random_from_data,3208.987984910094,3027.5310324071984,True
7,tied,k-means++,3224.3905461959,2957.996296776755,True
7,tied,random_from_data,3224.407486463803,2958.013237044658,True
5,spherical,kmeans,3365.1159662741657,3214.545303558997,True
5,spherical,k-means++,3392.4660552511277,3241.8953925359588,True
5,spherical,random_from_data,3469.425013061141,3318.854350345972,True
4,spherical,kmeans,3617.9503371410838,3498.265964213642,True
2,diag,k-means++,3626.0355158160028,3529.5158602293563,True
2,diag,kmeans,3626.0355158198545,3529.515860233208,True
4,spherical,k-means++,3661.240152233551,3541.555779306109,True
4,spherical,random_from_data,3683.8985759715956,3564.2142030441537,True
3,spherical,k-means++,4105.776693160773,4016.9786100210576,True
3,spherical,kmeans,4105.777523351564,4016.9794402118496,True
3,spherical,random_from_data,4105.825508662636,4017.0274255229206,True
2,spherical,random_from_data,4786.084342319311,4728.172548967323,True
2,spherical,k-means++,4786.084342753013,4728.172549401024,True
2,spherical,kmeans,4786.084344525481,4728.172551173493,True
